Самсон\Внештатный персонал\Группа 002,Эдуард Яковлевич Недопекин,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 003,Александр Олегович Бузункин,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 004,Юрий Романович Секирин,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 005,София Федоровна Сиушкина,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 006,Ярослав Алексиевич Пальчицкий,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 007,Любовь Евгеньевна Коротнева,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 008,Валентин Максимович Турунов,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 009,Александр Павлович Фейзин,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 010,Юрий Валериевич Требулев,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 011,Борис Антонович Балебин,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 012,Руслан Денисович Поддымов,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 013,Юлия Сергеевна Кобенкова,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 014,Дарья Валерьевна Кимайкина,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 015,Кирилл Петрович Михантьев,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 016,Михаил Денисович Смоликов,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 017,Кристина Кирилловна Бесчатых,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 018,Дарья Игоревна Итакаева,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 019,Виталий Валериевич Заливалов,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 020,Ирина Кирилловна Апархова,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 021,Вадим Георгиевич Терашков,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 022,Жанна Алексеевна Сильчукова,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 023,Иван Валериевич Юрезанский,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 024,Екатерина Никитична Горенькова,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 025,Алёна Валерьевна Замжицкая,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 026,Руслан Петрович Тогреев,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 027,Владимир Георгиевич Форысенков,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 028,Алена Алексеевна Заречнева,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 029,Максим Василиевич Пашов,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 030,Федор Данилович Апалинов,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 031,Юрий Андреевич Метлин,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 032,Алёна Петровна Ситдикова,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 033,Геннадий Иванович Долков,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 034,Михаил Кириллович Исламов,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 035,Екатерина Аркадьевна Чибикова,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 036,Георгий Аркадиевич Воротков,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 037,Геннадий Георгиевич Суструев,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 038,Вячеслав Романович Варясин,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 039,Кирилл Кириллович Глобачев,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
Самсон\Внештатный персонал\Группа 040,Алексей Валериевич Сетюков,Наблюдатель,Москва:нет Санкт-Петербург:нет Самара:нет
